file;run;n;m;objective;time
ta76.txt;3;100;10;5308;53
ta76.txt;4;100;10;5308;49
ta76.txt;5;100;10;5303;67
ta76.txt;6;100;10;5308;49
ta76.txt;7;100;10;5308;51
ta76.txt;8;100;10;5308;51
ta76.txt;9;100;10;5308;50
ta76.txt;10;100;10;5308;53
ta76.txt;11;100;10;5308;54
ta76.txt;12;100;10;5308;49
ta76.txt;13;100;10;5308;53
ta76.txt;14;100;10;5308;50
ta76.txt;15;100;10;5308;51
ta76.txt;16;100;10;5308;50
ta76.txt;17;100;10;5308;49
ta76.txt;18;100;10;5303;64
ta76.txt;19;100;10;5308;54
ta77.txt;0;100;10;5599;52
ta77.txt;1;100;10;5599;42
ta77.txt;2;100;10;5599;58
ta77.txt;3;100;10;5599;38
ta77.txt;4;100;10;5599;48
ta77.txt;5;100;10;5596;72
ta77.txt;6;100;10;5596;39
ta77.txt;7;100;10;5596;56
ta77.txt;8;100;10;5599;74
ta77.txt;9;100;10;5600;58
ta77.txt;10;100;10;5599;41
ta77.txt;11;100;10;5599;42
ta77.txt;12;100;10;5596;56
ta77.txt;13;100;10;5599;56
ta77.txt;14;100;10;5599;57
ta77.txt;15;100;10;5599;42
ta77.txt;16;100;10;5599;54
ta77.txt;17;100;10;5599;45
ta77.txt;18;100;10;5599;44
ta77.txt;19;100;10;5599;45
ta78.txt;0;100;10;5623;56
ta78.txt;1;100;10;5640;46
ta78.txt;2;100;10;5634;76
ta78.txt;3;100;10;5640;51
ta78.txt;4;100;10;5626;62
ta78.txt;5;100;10;5637;61
ta78.txt;6;100;10;5637;60
ta78.txt;7;100;10;5640;44
ta78.txt;8;100;10;5640;48
ta78.txt;9;100;10;5625;75
ta78.txt;10;100;10;5630;72
ta78.txt;11;100;10;5637;76
ta78.txt;12;100;10;5637;76
ta78.txt;13;100;10;5640;48
ta78.txt;14;100;10;5640;45
ta78.txt;15;100;10;5640;51
ta78.txt;16;100;10;5640;59
ta78.txt;17;100;10;5640;60
ta78.txt;18;100;10;5637;46
ta78.txt;19;100;10;5637;62
ta79.txt;0;100;10;5875;82
ta79.txt;1;100;10;5875;59
ta79.txt;2;100;10;5875;64
ta79.txt;3;100;10;5875;94
ta79.txt;4;100;10;5875;61
ta79.txt;5;100;10;5891;38
ta79.txt;6;100;10;5878;46
