file;run;n;m;objective;time
rec37.txt;19;75;20;8052;26
rec39.txt;0;75;20;8449;42
rec39.txt;1;75;20;8429;40
rec39.txt;2;75;20;8429;55
rec39.txt;3;75;20;8445;54
rec39.txt;4;75;20;8438;40
rec39.txt;5;75;20;8454;49
rec39.txt;6;75;20;8436;52
rec39.txt;7;75;20;8437;61
rec39.txt;8;75;20;8426;52
rec39.txt;9;75;20;8439;59
rec39.txt;10;75;20;8439;47
rec39.txt;11;75;20;8429;52
rec39.txt;12;75;20;8440;39
rec39.txt;13;75;20;8454;38
rec39.txt;14;75;20;8437;45
rec39.txt;15;75;20;8430;60
rec39.txt;16;75;20;8436;43
rec39.txt;17;75;20;8433;52
rec39.txt;18;75;20;8441;48
rec39.txt;19;75;20;8428;62
rec41.txt;0;75;20;8470;40
rec41.txt;1;75;20;8459;37
rec41.txt;2;75;20;8448;34
rec41.txt;3;75;20;8465;52
rec41.txt;4;75;20;8458;43
rec41.txt;5;75;20;8458;47
rec41.txt;6;75;20;8449;35
rec41.txt;7;75;20;8452;58
rec41.txt;8;75;20;8454;44
rec41.txt;9;75;20;8445;50
rec41.txt;10;75;20;8438;45
rec41.txt;11;75;20;8461;38
rec41.txt;12;75;20;8466;28
rec41.txt;13;75;20;8462;42
rec41.txt;14;75;20;8447;53
rec41.txt;15;75;20;8471;49
rec41.txt;16;75;20;8447;40
rec41.txt;17;75;20;8445;35
rec41.txt;18;75;20;8458;30
rec41.txt;19;75;20;8463;43
ta81.txt;0;100;20;10727;64
ta81.txt;1;100;20;10712;79
ta81.txt;2;100;20;10707;77
ta81.txt;3;100;20;10709;58
ta81.txt;4;100;20;10713;62
ta81.txt;5;100;20;10709;90
ta81.txt;6;100;20;10711;110
ta81.txt;7;100;20;10723;78
ta81.txt;8;100;20;10711;81
ta81.txt;9;100;20;10726;72
ta81.txt;10;100;20;10714;76
ta81.txt;11;100;20;10711;73
ta81.txt;12;100;20;10697;100
ta81.txt;13;100;20;10714;74
ta81.txt;14;100;20;10698;108
ta81.txt;15;100;20;10738;70
ta81.txt;16;100;20;10711;86
ta81.txt;17;100;20;10701;115
ta81.txt;18;100;20;10702;87
ta81.txt;19;100;20;10709;64
ta82.txt;0;100;20;10596;100
ta82.txt;1;100;20;10600;88
ta82.txt;2;100;20;10594;87
ta82.txt;3;100;20;10646;61
ta82.txt;4;100;20;10605;82
ta82.txt;5;100;20;10601;103
ta82.txt;6;100;20;10619;99
ta82.txt;7;100;20;10622;74
ta82.txt;8;100;20;10638;78
ta82.txt;9;100;20;10595;87
ta82.txt;10;100;20;10599;111
ta82.txt;11;100;20;10594;94
ta82.txt;12;100;20;10624;109
ta82.txt;13;100;20;10602;76
ta82.txt;14;100;20;10616;101
ta82.txt;15;100;20;10595;84
ta82.txt;16;100;20;10596;105
ta82.txt;17;100;20;10595;71
ta82.txt;18;100;20;10622;99
ta82.txt;19;100;20;10606;71
ta83.txt;0;100;20;10634;123
ta83.txt;1;100;20;10644;86
ta83.txt;2;100;20;10632;89
ta83.txt;3;100;20;10646;83
ta83.txt;4;100;20;10636;103
ta83.txt;5;100;20;10638;76
ta83.txt;6;100;20;10630;82
ta83.txt;7;100;20;10650;70
ta83.txt;8;100;20;10619;132
ta83.txt;9;100;20;10627;80
ta83.txt;10;100;20;10626;59
ta83.txt;11;100;20;10612;111
ta83.txt;12;100;20;10641;84
ta83.txt;13;100;20;10617;89
ta83.txt;14;100;20;10615;95
ta83.txt;15;100;20;10634;74
ta83.txt;16;100;20;10608;104
ta83.txt;17;100;20;10635;76
ta83.txt;18;100;20;10626;86
ta83.txt;19;100;20;10635;75
ta84.txt;0;100;20;10626;91
ta84.txt;1;100;20;10615;96
ta84.txt;2;100;20;10642;89
ta84.txt;3;100;20;10637;78
ta84.txt;4;100;20;10619;79
ta84.txt;5;100;20;10625;80
ta84.txt;6;100;20;10613;77
ta84.txt;7;100;20;10609;91
ta84.txt;8;100;20;10626;81
ta84.txt;9;100;20;10628;86
ta84.txt;10;100;20;10621;73
ta84.txt;11;100;20;10638;74
ta84.txt;12;100;20;10632;65
ta84.txt;13;100;20;10621;93
ta84.txt;14;100;20;10619;74
ta84.txt;15;100;20;10615;94
ta84.txt;16;100;20;10621;73
ta84.txt;17;100;20;10617;84
ta84.txt;18;100;20;10615;79
ta84.txt;19;100;20;10617;90
ta85.txt;0;100;20;10561;64
ta85.txt;1;100;20;10539;75
ta85.txt;2;100;20;10525;117
ta85.txt;3;100;20;10556;70
ta85.txt;4;100;20;10538;77
ta85.txt;5;100;20;10557;58
ta85.txt;6;100;20;10565;69
ta85.txt;7;100;20;10541;94
ta85.txt;8;100;20;10526;78
ta85.txt;9;100;20;10534;96
ta85.txt;10;100;20;10540;111
ta85.txt;11;100;20;10523;88
ta85.txt;12;100;20;10528;103
ta85.txt;13;100;20;10554;74
ta85.txt;14;100;20;10525;101
ta85.txt;15;100;20;10570;64
ta85.txt;16;100;20;10539;57
ta85.txt;17;100;20;10550;70
ta85.txt;18;100;20;10531;87
ta85.txt;19;100;20;10547;87
ta86.txt;0;100;20;10659;81
ta86.txt;1;100;20;10664;77
ta86.txt;2;100;20;10680;69
ta86.txt;3;100;20;10687;95
ta86.txt;4;100;20;10667;93
ta86.txt;5;100;20;10698;58
ta86.txt;6;100;20;10664;83
ta86.txt;7;100;20;10667;87
ta86.txt;8;100;20;10682;81
ta86.txt;9;100;20;10658;110
ta86.txt;10;100;20;10686;73
ta86.txt;11;100;20;10676;73
ta86.txt;12;100;20;10669;73
ta86.txt;13;100;20;10681;99
ta86.txt;14;100;20;10668;86
ta86.txt;15;100;20;10654;87
ta86.txt;16;100;20;10670;97
ta86.txt;17;100;20;10641;86
ta86.txt;18;100;20;10680;71
ta86.txt;19;100;20;10673;65
ta87.txt;0;100;20;10826;92
ta87.txt;1;100;20;10818;91
ta87.txt;2;100;20;10836;95
ta87.txt;3;100;20;10835;67
ta87.txt;4;100;20;10822;75
ta87.txt;5;100;20;10830;95
ta87.txt;6;100;20;10822;92
ta87.txt;7;100;20;10823;101
ta87.txt;8;100;20;10816;102
ta87.txt;9;100;20;10828;94
ta87.txt;10;100;20;10821;117
ta87.txt;11;100;20;10833;65
ta87.txt;12;100;20;10826;98
ta87.txt;13;100;20;10840;88
ta87.txt;14;100;20;10829;81
ta87.txt;15;100;20;10824;73
ta87.txt;16;100;20;10815;86
ta87.txt;17;100;20;10822;97
ta87.txt;18;100;20;10825;65
ta87.txt;19;100;20;10832;94
ta88.txt;0;100;20;10847;98
